triple_ID	annotator	title	base_ID	left_ID	right_ID	Form	Inhalt	Emotion	Stil	Insgesamt	triple_ID	Runde
l00140119l00180079l00130204	SW	Abbild 	l00180079	l00140119	l00130204	left	left	same	same	left	l00140119l00180079l00130204	Runde 2
l0010038l00140105l0060057	MK	Resignatio 	l00140105	l0010038	l0060057	same	right	same	right	right	l0010038l00140105l0060057	Runde 2
l0010132l0020093l0090065	MK	Trost im Leiden 	l0020093	l0010132	l0090065	same	right	same	left	right	l0010132l0020093l0090065	Runde 2
l0040304l0030127l0040520	SW	Der Brunnen	l0030127	l0040304	l0040520	right	same	right	left	left	l0040304l0030127l0040520	Runde 1
l00180047l0010076l00160117	MK	Der Seligen Furcht 	l0010076	l00180047	l00160117	same	right	left	right	right	l00180047l0010076l00160117	Runde 2
l00190039l00180017l0080377	MK	Märztag 	l00180017	l00190039	l0080377	same	left	right	left	left	l00190039l00180017l0080377	Runde 2
l00170003l0080344l00100009	MK	Es rauschen den eingeborenen Ton 	l0080344	l00170003	l00100009	right	right	right	same	right	l00170003l0080344l00100009	Runde 2
l0010012l0080549l0030174	SW	Du warst es doch 	l0080549	l0010012	l0030174	left	left	left	left	left	l0010012l0080549l0030174	Runde 2
l00160152l0080026l0080077	MK	Das schlafende Kind 	l0080026	l00160152	l0080077	right	same	right	right	right	l00160152l0080026l0080077	Runde 2
l00130210l0040336l00200340	MK	„Süß sind mir die Schollen des Tales.“ 	l0040336	l00130210	l00200340	same	same	same	same	same	l00130210l0040336l00200340	Runde 2
l0050031l00130354l00160112	MK	An die Mädchen 	l00130354	l0050031	l00160112	right	left	same	right	same	l0050031l00130354l00160112	Runde 2
l0040509l00130122l0030243	MK	Zur Warnung 	l00130122	l0040509	l0030243	right	right	same	same	right	l0040509l00130122l0030243	Runde 2
l0090084l00160119l0030052	MK	Demuth 	l00160119	l0090084	l0030052	right	same	same	right	right	l0090084l00160119l0030052	Runde 2
l0060056l0030420l00170194	SW	Verirrt 	l0030420	l0060056	l00170194	left	left	left	left	left	l0060056l0030420l00170194	Runde 2
